#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma	#Time: 5.00Ma	#Time: 10.00Ma	#Time: 15.00Ma	#Time: 20.00Ma	#Time: 25.00Ma	#Time: 30.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 466.00	 -0.00	 0.0	 -0.00	 0.0	 111.33	 111.3	 52.30	 52.3	 33.39	 33.4	 15.53	 15.5	 -1.04	 -1.0	 -16.25	 -14.5	 -27.51	 -22.3
 468.00	 -0.00	 0.0	 -0.00	 0.0	 114.26	 114.3	 59.03	 59.0	 41.21	 41.2	 24.35	 24.3	 8.66	 8.7	 -5.77	 -5.6	 -16.47	 -14.5
 470.00	 -0.00	 0.0	 -0.00	 0.0	 116.64	 116.6	 65.08	 65.1	 48.32	 48.3	 32.43	 32.4	 17.60	 17.6	 3.93	 3.9	 -6.22	 -6.0
 472.00	 -0.00	 0.0	 -0.00	 0.0	 118.48	 118.5	 70.48	 70.5	 54.75	 54.7	 39.80	 39.8	 25.81	 25.8	 12.89	 12.9	 3.27	 3.3
 474.00	 -0.00	 0.0	 -0.00	 0.0	 119.82	 119.8	 75.25	 75.3	 60.52	 60.5	 46.49	 46.5	 33.32	 33.3	 21.13	 21.1	 12.03	 12.0
 476.00	 -0.00	 0.0	 -0.00	 0.0	 120.71	 120.7	 79.44	 79.4	 65.67	 65.7	 52.53	 52.5	 40.16	 40.2	 28.68	 28.7	 20.09	 20.1
 478.00	 -0.00	 0.0	 -0.00	 0.0	 121.16	 121.2	 83.07	 83.1	 70.24	 70.2	 57.95	 58.0	 46.36	 46.4	 35.57	 35.6	 27.47	 27.5
 480.00	 -0.00	 0.0	 -0.00	 0.0	 121.22	 121.2	 86.17	 86.2	 74.25	 74.2	 62.79	 62.8	 51.96	 52.0	 41.83	 41.8	 34.22	 34.2
 482.00	 -0.00	 0.0	 -0.00	 0.0	 120.91	 120.9	 88.78	 88.8	 77.73	 77.7	 67.08	 67.1	 56.97	 57.0	 47.49	 47.5	 40.35	 40.3
 484.00	 -0.00	 0.0	 -0.00	 0.0	 120.26	 120.3	 90.93	 90.9	 80.71	 80.7	 70.84	 70.8	 61.42	 61.4	 52.57	 52.6	 45.89	 45.9
 486.00	 -0.00	 0.0	 -0.00	 0.0	 119.31	 119.3	 92.64	 92.6	 83.23	 83.2	 74.10	 74.1	 65.36	 65.4	 57.12	 57.1	 50.87	 50.9
 488.00	 -0.00	 0.0	 -0.00	 0.0	 118.06	 118.1	 93.94	 93.9	 85.30	 85.3	 76.89	 76.9	 68.80	 68.8	 61.14	 61.1	 55.33	 55.3
 490.00	 -0.00	 0.0	 -0.00	 0.0	 116.56	 116.6	 94.86	 94.9	 86.96	 87.0	 79.23	 79.2	 71.77	 71.8	 64.68	 64.7	 59.27	 59.3
 492.00	 -0.00	 0.0	 -0.00	 0.0	 114.82	 114.8	 95.43	 95.4	 88.23	 88.2	 81.16	 81.2	 74.30	 74.3	 67.75	 67.8	 62.74	 62.7
 494.00	 -0.00	 0.0	 -0.00	 0.0	 112.87	 112.9	 95.66	 95.7	 89.14	 89.1	 82.70	 82.7	 76.41	 76.4	 70.38	 70.4	 65.76	 65.8
 496.00	 -0.00	 0.0	 -0.00	 0.0	 110.72	 110.7	 95.58	 95.6	 89.70	 89.7	 83.86	 83.9	 78.13	 78.1	 72.61	 72.6	 68.34	 68.3
 498.00	 -0.00	 0.0	 -0.00	 0.0	 108.40	 108.4	 95.22	 95.2	 89.95	 90.0	 84.69	 84.7	 79.48	 79.5	 74.44	 74.4	 70.53	 70.5
 500.00	 -0.00	 0.0	 -0.00	 0.0	 105.93	 105.9	 94.59	 94.6	 89.91	 89.9	 85.19	 85.2	 80.49	 80.5	 75.90	 75.9	 72.33	 72.3
 502.00	 -0.00	 0.0	 -0.00	 0.0	 103.33	 103.3	 93.72	 93.7	 89.59	 89.6	 85.40	 85.4	 81.18	 81.2	 77.02	 77.0	 73.77	 73.8
 504.00	 -0.00	 0.0	 -0.00	 0.0	 100.60	 100.6	 92.63	 92.6	 89.03	 89.0	 85.32	 85.3	 81.56	 81.6	 77.82	 77.8	 74.88	 74.9
 506.00	 -0.00	 0.0	 -0.00	 0.0	 97.78	 97.8	 91.34	 91.3	 88.23	 88.2	 84.99	 85.0	 81.66	 81.7	 78.32	 78.3	 75.67	 75.7
 508.00	 -0.00	 0.0	 -0.00	 0.0	 94.86	 94.9	 89.85	 89.9	 87.21	 87.2	 84.42	 84.4	 81.50	 81.5	 78.54	 78.5	 76.17	 76.2
 510.00	 -0.00	 0.0	 -0.00	 0.0	 91.87	 91.9	 88.20	 88.2	 86.00	 86.0	 83.63	 83.6	 81.10	 81.1	 78.50	 78.5	 76.40	 76.4
 512.00	 -0.00	 0.0	 -0.00	 0.0	 88.82	 88.8	 86.39	 86.4	 84.61	 84.6	 82.63	 82.6	 80.47	 80.5	 78.21	 78.2	 76.36	 76.4
 514.00	 -0.00	 0.0	 -0.00	 0.0	 85.72	 85.7	 84.45	 84.4	 83.05	 83.1	 81.45	 81.4	 79.64	 79.6	 77.70	 77.7	 76.09	 76.1
 516.00	 -0.00	 0.0	 -0.00	 0.0	 82.57	 82.6	 82.38	 82.4	 81.35	 81.3	 80.09	 80.1	 78.62	 78.6	 76.98	 77.0	 75.60	 75.6
 518.00	 -0.00	 0.0	 -0.00	 0.0	 79.40	 79.4	 80.20	 80.2	 79.51	 79.5	 78.59	 78.6	 77.42	 77.4	 76.07	 76.1	 74.91	 74.9
 520.00	 -0.00	 0.0	 -0.00	 0.0	 76.21	 76.2	 77.91	 77.9	 77.55	 77.5	 76.93	 76.9	 76.06	 76.1	 74.99	 75.0	 74.03	 74.0
 522.00	 -0.00	 0.0	 -0.00	 0.0	 73.01	 73.0	 75.54	 75.5	 75.48	 75.5	 75.15	 75.2	 74.55	 74.6	 73.74	 73.7	 72.97	 73.0
 524.00	 -0.00	 0.0	 -0.00	 0.0	 69.80	 69.8	 73.10	 73.1	 73.31	 73.3	 73.26	 73.3	 72.91	 72.9	 72.34	 72.3	 71.75	 71.8
 526.00	 -0.00	 0.0	 -0.00	 0.0	 66.59	 66.6	 70.58	 70.6	 71.06	 71.1	 71.26	 71.3	 71.16	 71.2	 70.81	 70.8	 70.39	 70.4
 528.00	 -0.00	 0.0	 -0.00	 0.0	 63.39	 63.4	 68.01	 68.0	 68.72	 68.7	 69.16	 69.2	 69.29	 69.3	 69.15	 69.2	 68.90	 68.9
 530.00	 -0.00	 0.0	 -0.00	 0.0	 60.21	 60.2	 65.39	 65.4	 66.33	 66.3	 66.98	 67.0	 67.32	 67.3	 67.39	 67.4	 67.28	 67.3
 532.00	 -0.00	 0.0	 -0.00	 0.0	 57.04	 57.0	 62.72	 62.7	 63.87	 63.9	 64.73	 64.7	 65.26	 65.3	 65.52	 65.5	 65.55	 65.6
 534.00	 -0.00	 0.0	 -0.00	 0.0	 53.89	 53.9	 60.02	 60.0	 61.36	 61.4	 62.41	 62.4	 63.13	 63.1	 63.56	 63.6	 63.73	 63.7
 536.00	 -0.00	 0.0	 -0.00	 0.0	 50.77	 50.8	 57.30	 57.3	 58.80	 58.8	 60.03	 60.0	 60.93	 60.9	 61.52	 61.5	 61.81	 61.8
 538.00	 -0.00	 0.0	 -0.00	 0.0	 47.68	 47.7	 54.54	 54.5	 56.21	 56.2	 57.60	 57.6	 58.66	 58.7	 59.40	 59.4	 59.82	 59.8
 540.00	 -0.00	 0.0	 -0.00	 0.0	 44.61	 44.6	 51.78	 51.8	 53.59	 53.6	 55.13	 55.1	 56.34	 56.3	 57.23	 57.2	 57.75	 57.7
 542.00	 -0.00	 0.0	 -0.00	 0.0	 41.58	 41.6	 48.99	 49.0	 50.95	 50.9	 52.62	 52.6	 53.97	 54.0	 54.99	 55.0	 55.61	 55.6
 544.00	 -0.00	 0.0	 -0.00	 0.0	 38.58	 38.6	 46.20	 46.2	 48.28	 48.3	 50.09	 50.1	 51.56	 51.6	 52.70	 52.7	 53.42	 53.4
 546.00	 -0.00	 0.0	 -0.00	 0.0	 35.61	 35.6	 43.41	 43.4	 45.59	 45.6	 47.52	 47.5	 49.11	 49.1	 50.37	 50.4	 51.18	 51.2
 548.00	 -0.00	 0.0	 -0.00	 0.0	 32.68	 32.7	 40.61	 40.6	 42.90	 42.9	 44.93	 44.9	 46.64	 46.6	 48.00	 48.0	 48.90	 48.9
 550.00	 -0.00	 0.0	 -0.00	 0.0	 29.78	 29.8	 37.81	 37.8	 40.19	 40.2	 42.32	 42.3	 44.13	 44.1	 45.60	 45.6	 46.57	 46.6
 552.00	 -0.00	 0.0	 -0.00	 0.0	 26.91	 26.9	 35.01	 35.0	 37.47	 37.5	 39.70	 39.7	 41.61	 41.6	 43.17	 43.2	 44.22	 44.2
 554.00	 -0.00	 0.0	 -0.00	 0.0	 24.08	 24.1	 32.22	 32.2	 34.76	 34.8	 37.07	 37.1	 39.06	 39.1	 40.72	 40.7	 41.83	 41.8
 556.00	 -0.00	 0.0	 -0.00	 0.0	 21.28	 21.3	 29.43	 29.4	 32.04	 32.0	 34.43	 34.4	 36.51	 36.5	 38.24	 38.2	 39.42	 39.4
 558.00	 -0.00	 0.0	 -0.00	 0.0	 18.52	 18.5	 26.65	 26.6	 29.32	 29.3	 31.78	 31.8	 33.94	 33.9	 35.75	 35.7	 36.99	 37.0
 560.00	 -0.00	 0.0	 -0.00	 0.0	 15.78	 15.8	 23.87	 23.9	 26.60	 26.6	 29.13	 29.1	 31.36	 31.4	 33.24	 33.2	 34.54	 34.5
 562.00	 -0.00	 0.0	 -0.00	 0.0	 13.07	 13.1	 21.11	 21.1	 23.88	 23.9	 26.47	 26.5	 28.77	 28.8	 30.72	 30.7	 32.07	 32.1
 564.00	 -0.00	 0.0	 -0.00	 0.0	 10.39	 10.4	 18.35	 18.3	 21.17	 21.2	 23.82	 23.8	 26.18	 26.2	 28.20	 28.2	 29.60	 29.6
 566.00	 -0.00	 0.0	 -0.00	 0.0	 7.73	 7.7	 15.60	 15.6	 18.46	 18.5	 21.16	 21.2	 23.58	 23.6	 25.66	 25.7	 27.11	 27.1
 568.00	 -0.00	 0.0	 -0.00	 0.0	 5.10	 5.1	 12.85	 12.9	 15.75	 15.8	 18.51	 18.5	 20.99	 21.0	 23.12	 23.1	 24.61	 24.6
 570.00	 -0.00	 0.0	 -0.00	 0.0	 2.49	 2.5	 10.12	 10.1	 13.05	 13.1	 15.85	 15.9	 18.39	 18.4	 20.57	 20.6	 22.11	 22.1
 572.00	 -0.00	 0.0	 -0.00	 0.0	 -0.10	 -0.1	 7.39	 7.4	 10.35	 10.4	 13.20	 13.2	 15.78	 15.8	 18.02	 18.0	 19.61	 19.6
 574.00	 -0.00	 0.0	 -0.00	 0.0	 -2.68	 -2.7	 4.67	 4.8	 7.66	 7.8	 10.54	 10.7	 13.18	 13.3	 15.47	 15.6	 17.09	 17.2
 576.00	 -0.00	 0.0	 -0.00	 0.0	 -5.23	 -5.2	 1.96	 2.3	 4.97	 5.4	 7.89	 8.3	 10.58	 11.0	 12.92	 13.3	 14.58	 15.0
 578.00	 -0.00	 0.0	 -0.00	 0.0	 -7.78	 -7.8	 -0.75	 0.1	 2.28	 3.2	 5.24	 6.1	 7.98	 8.8	 10.37	 11.2	 12.06	 12.9
 580.00	 -0.00	 0.0	 -0.00	 0.0	 -10.32	 -10.3	 -3.46	 -2.0	 -0.40	 1.3	 2.60	 4.3	 5.38	 7.0	 7.81	 9.5	 9.55	 11.2
 582.00	 -0.00	 0.0	 -0.00	 0.0	 -12.84	 -12.8	 -6.16	 -4.1	 -3.08	 -0.4	 -0.05	 2.7	 2.78	 5.5	 5.26	 8.0	 7.03	 9.8
 584.00	 -0.00	 0.0	 -0.00	 0.0	 -15.36	 -15.4	 -8.86	 -6.2	 -5.76	 -2.0	 -2.69	 1.3	 0.18	 4.2	 2.70	 6.7	 4.51	 8.5
 586.00	 -0.00	 0.0	 -0.00	 0.0	 -17.87	 -17.9	 -11.56	 -8.3	 -8.44	 -3.6	 -5.34	 0.0	 -2.42	 3.0	 0.15	 5.5	 1.99	 7.4
 588.00	 -0.00	 0.0	 -0.00	 0.0	 -20.38	 -20.4	 -14.25	 -10.3	 -11.12	 -5.2	 -7.98	 -1.2	 -5.02	 1.9	 -2.41	 4.5	 -0.53	 6.4
 590.00	 -0.00	 0.0	 -0.00	 0.0	 -22.89	 -22.9	 -16.94	 -12.4	 -13.79	 -6.8	 -10.62	 -2.4	 -7.62	 0.9	 -4.96	 3.5	 -3.05	 5.5
 592.00	 -0.00	 0.0	 -0.00	 0.0	 -25.39	 -25.4	 -19.64	 -14.5	 -16.47	 -8.4	 -13.26	 -3.6	 -10.22	 -0.0	 -7.52	 2.7	 -5.57	 4.6
 594.00	 -0.00	 0.0	 -0.00	 0.0	 -27.90	 -27.9	 -22.33	 -16.6	 -19.14	 -10.0	 -15.90	 -4.8	 -12.82	 -0.9	 -10.08	 1.9	 -8.09	 3.9
 596.00	 -0.00	 0.0	 -0.00	 0.0	 -30.40	 -30.4	 -25.02	 -18.7	 -21.82	 -11.6	 -18.55	 -6.0	 -15.42	 -1.8	 -12.63	 1.1	 -10.61	 3.2
 598.00	 -0.00	 0.0	 -0.00	 0.0	 -32.90	 -32.9	 -27.71	 -20.8	 -24.49	 -13.2	 -21.19	 -7.2	 -18.02	 -2.7	 -15.19	 0.5	 -13.13	 2.5
 600.00	 -0.00	 0.0	 -0.00	 0.0	 -35.40	 -35.4	 -30.40	 -22.9	 -27.17	 -14.8	 -23.83	 -8.4	 -20.62	 -3.6	 -17.74	 -0.2	 -15.65	 1.9
