#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma	#Time: 5.00Ma	#Time: 10.00Ma	#Time: 15.00Ma	#Time: 20.00Ma	#Time: 25.00Ma	#Time: 30.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 90.00	 -0.00	 0.0	 -0.00	 0.0	 82.05	 82.0	 82.92	 82.9	 82.08	 82.1	 81.00	 81.0	 79.67	 79.7	 78.14	 78.1	 76.80	 76.8
 92.00	 -0.00	 0.0	 -0.00	 0.0	 85.21	 85.2	 85.02	 85.0	 83.83	 83.8	 82.40	 82.4	 80.73	 80.7	 78.88	 78.9	 77.31	 77.3
 94.00	 -0.00	 0.0	 -0.00	 0.0	 88.35	 88.3	 87.01	 87.0	 85.43	 85.4	 83.62	 83.6	 81.60	 81.6	 79.42	 79.4	 77.59	 77.6
 96.00	 -0.00	 0.0	 -0.00	 0.0	 91.44	 91.4	 88.87	 88.9	 86.87	 86.9	 84.67	 84.7	 82.27	 82.3	 79.73	 79.7	 77.64	 77.6
 98.00	 -0.00	 0.0	 -0.00	 0.0	 94.49	 94.5	 90.58	 90.6	 88.14	 88.1	 85.52	 85.5	 82.71	 82.7	 79.80	 79.8	 77.42	 77.4
 100.00	 -0.00	 0.0	 -0.00	 0.0	 97.47	 97.5	 92.13	 92.1	 89.22	 89.2	 86.14	 86.1	 82.91	 82.9	 79.60	 79.6	 76.94	 76.9
 102.00	 -0.00	 0.0	 -0.00	 0.0	 100.38	 100.4	 93.49	 93.5	 90.09	 90.1	 86.54	 86.5	 82.86	 82.9	 79.13	 79.1	 76.15	 76.1
 104.00	 -0.00	 0.0	 -0.00	 0.0	 103.19	 103.2	 94.66	 94.7	 90.73	 90.7	 86.67	 86.7	 82.52	 82.5	 78.35	 78.4	 75.05	 75.0
 106.00	 -0.00	 0.0	 -0.00	 0.0	 105.90	 105.9	 95.60	 95.6	 91.12	 91.1	 86.53	 86.5	 81.88	 81.9	 77.25	 77.3	 73.61	 73.6
 108.00	 -0.00	 0.0	 -0.00	 0.0	 108.48	 108.5	 96.32	 96.3	 91.24	 91.2	 86.10	 86.1	 80.92	 80.9	 75.81	 75.8	 71.80	 71.8
 110.00	 -0.00	 0.0	 -0.00	 0.0	 110.92	 110.9	 96.77	 96.8	 91.08	 91.1	 85.34	 85.3	 79.61	 79.6	 73.99	 74.0	 69.62	 69.6
 112.00	 -0.00	 0.0	 -0.00	 0.0	 113.21	 113.2	 96.94	 96.9	 90.60	 90.6	 84.24	 84.2	 77.94	 77.9	 71.79	 71.8	 67.02	 67.0
 114.00	 -0.00	 0.0	 -0.00	 0.0	 115.31	 115.3	 96.81	 96.8	 89.78	 89.8	 82.78	 82.8	 75.87	 75.9	 69.17	 69.2	 63.99	 64.0
 116.00	 -0.00	 0.0	 -0.00	 0.0	 117.21	 117.2	 96.36	 96.4	 88.61	 88.6	 80.93	 80.9	 73.38	 73.4	 66.10	 66.1	 60.51	 60.5
 118.00	 -0.00	 0.0	 -0.00	 0.0	 118.89	 118.9	 95.55	 95.6	 87.05	 87.1	 78.66	 78.7	 70.46	 70.5	 62.57	 62.6	 56.54	 56.5
 120.00	 -0.00	 0.0	 -0.00	 0.0	 120.32	 120.3	 94.37	 94.4	 85.08	 85.1	 75.95	 75.9	 67.06	 67.1	 58.55	 58.6	 52.06	 52.1
 122.00	 -0.00	 0.0	 -0.00	 0.0	 121.47	 121.5	 92.78	 92.8	 82.67	 82.7	 72.77	 72.8	 63.16	 63.2	 54.01	 54.0	 47.04	 47.0
 124.00	 -0.00	 0.0	 -0.00	 0.0	 122.33	 122.3	 90.76	 90.8	 79.80	 79.8	 69.09	 69.1	 58.74	 58.7	 48.91	 48.9	 41.46	 41.5
