#Time: 0.00Ma	 	#Time: 0.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)
 590.00	 -0.00	 1000.0	 -824.39	 175.6
 592.00	 -0.00	 1104.5	 -905.02	 199.5
 594.00	 -0.00	 1207.9	 -985.35	 222.6
 596.00	 -0.00	 1309.0	 -1064.51	 244.5
 598.00	 -0.00	 1406.7	 -1141.60	 265.1
 600.00	 -0.00	 1500.0	 -1215.76	 284.2
 602.00	 -0.00	 1587.8	 -1286.15	 301.6
 604.00	 -0.00	 1669.1	 -1351.98	 317.1
 606.00	 -0.00	 1743.2	 -1412.50	 330.7
 608.00	 -0.00	 1809.0	 -1467.01	 342.0
 610.00	 -0.00	 1866.0	 -1514.88	 351.2
 612.00	 -0.00	 1913.6	 -1555.56	 358.0
 614.00	 -0.00	 1951.1	 -1588.57	 362.5
 616.00	 -0.00	 1978.2	 -1613.51	 364.6
 618.00	 -0.00	 1994.5	 -1630.07	 364.4
 620.00	 -0.00	 2000.0	 -1638.05	 361.9
 622.00	 -0.00	 1994.5	 -1637.32	 357.2
 624.00	 -0.00	 1978.2	 -1627.86	 350.3
 626.00	 -0.00	 1951.1	 -1609.75	 341.3
 628.00	 -0.00	 1913.6	 -1583.15	 330.4
 630.00	 -0.00	 1866.0	 -1548.34	 317.7
 632.00	 -0.00	 1809.0	 -1505.67	 303.3
 634.00	 -0.00	 1743.1	 -1455.60	 287.5
 636.00	 -0.00	 1669.1	 -1398.65	 270.5
 638.00	 -0.00	 1587.8	 -1335.44	 252.4
 640.00	 -0.00	 1500.0	 -1266.65	 233.4
 642.00	 -0.00	 1406.7	 -1193.03	 213.7
 644.00	 -0.00	 1309.0	 -1115.38	 193.6
 646.00	 -0.00	 1207.9	 -1034.55	 173.4
 648.00	 -0.00	 1104.5	 -951.44	 153.1
 650.00	 -0.00	 1000.0	 -866.96	 133.0
 652.00	 -0.00	 895.5	 -782.04	 113.4
 654.00	 -0.00	 792.1	 -697.62	 94.5
 656.00	 -0.00	 691.0	 -614.66	 76.3
 658.00	 -0.00	 593.3	 -534.06	 59.2
 660.00	 -0.00	 500.0	 -456.74	 43.3
 662.00	 -0.00	 412.2	 -383.56	 28.6
 664.00	 -0.00	 330.9	 -315.35	 15.5
 666.00	 -0.00	 256.9	 -252.86	 4.0
 668.00	 -0.00	 191.0	 -196.82	 -5.8
 670.00	 -0.00	 134.0	 -147.86	 -13.9
 672.00	 -0.00	 86.4	 -106.53	 -20.1
 674.00	 -0.00	 48.9	 -73.32	 -24.4
 676.00	 -0.00	 21.9	 -48.61	 -26.8
 678.00	 -0.00	 5.5	 -32.70	 -27.2
 680.00	 -0.00	 0.0	 -25.77	 -25.8
 682.00	 -0.00	 5.5	 -27.93	 -22.4
 684.00	 -0.00	 21.9	 -39.16	 -17.3
 686.00	 -0.00	 48.9	 -59.36	 -10.4
 688.00	 -0.00	 86.4	 -88.33	 -1.9
 690.00	 -0.00	 134.0	 -125.76	 8.2
 692.00	 -0.00	 191.0	 -171.24	 19.7
 694.00	 -0.00	 256.9	 -224.30	 32.6
 696.00	 -0.00	 330.9	 -284.34	 46.5
 698.00	 -0.00	 412.2	 -350.72	 61.5
 700.00	 -0.00	 500.0	 -422.72	 77.3
 702.00	 -0.00	 593.3	 -499.54	 93.7
 704.00	 -0.00	 691.0	 -580.33	 110.7
 706.00	 -0.00	 792.1	 -664.21	 127.9
 708.00	 -0.00	 895.5	 -750.25	 145.2
 710.00	 -0.00	 1000.0	 -837.51	 162.5
 712.00	 -0.00	 1104.5	 -925.01	 179.5
 714.00	 -0.00	 1207.9	 -1011.79	 196.1
 716.00	 -0.00	 1309.0	 -1096.87	 212.1
 718.00	 -0.00	 1406.7	 -1179.33	 227.4
 720.00	 -0.00	 1500.0	 -1258.24	 241.8
 722.00	 -0.00	 1587.8	 -1332.72	 255.1
 724.00	 -0.00	 1669.1	 -1401.94	 267.2
 726.00	 -0.00	 1743.2	 -1465.14	 278.0
 728.00	 -0.00	 1809.0	 -1521.59	 287.4
 730.00	 -0.00	 1866.0	 -1570.68	 295.3
 732.00	 -0.00	 1913.6	 -1611.85	 301.7
 734.00	 -0.00	 1951.1	 -1644.64	 306.4
 736.00	 -0.00	 1978.2	 -1668.67	 309.5
 738.00	 -0.00	 1994.5	 -1683.67	 310.8
 740.00	 -0.00	 2000.0	 -1689.48	 310.5
 742.00	 -0.00	 1994.5	 -1686.01	 308.5
 744.00	 -0.00	 1978.2	 -1673.30	 304.9
 746.00	 -0.00	 1951.1	 -1651.47	 299.6
 748.00	 -0.00	 1913.6	 -1620.78	 292.8
 750.00	 -0.00	 1866.0	 -1581.55	 284.5
 752.00	 -0.00	 1809.0	 -1534.20	 274.8
 754.00	 -0.00	 1743.1	 -1479.25	 263.9
 756.00	 -0.00	 1669.1	 -1417.32	 251.8
 758.00	 -0.00	 1587.8	 -1349.07	 238.7
 760.00	 -0.00	 1500.0	 -1275.26	 224.7
 762.00	 -0.00	 1406.7	 -1196.69	 210.0
 764.00	 -0.00	 1309.0	 -1114.24	 194.8
 766.00	 -0.00	 1207.9	 -1028.81	 179.1
 768.00	 -0.00	 1104.5	 -941.35	 163.2
 770.00	 -0.00	 1000.0	 -852.81	 147.2
 772.00	 -0.00	 895.5	 -764.18	 131.3
 774.00	 -0.00	 792.1	 -676.44	 115.6
 776.00	 -0.00	 691.0	 -590.57	 100.4
 778.00	 -0.00	 593.3	 -507.53	 85.7
 780.00	 -0.00	 500.0	 -428.27	 71.7
 782.00	 -0.00	 412.2	 -353.68	 58.5
 784.00	 -0.00	 330.9	 -284.62	 46.3
 786.00	 -0.00	 256.9	 -221.90	 35.0
 788.00	 -0.00	 191.0	 -166.22	 24.8
 790.00	 -0.00	 134.0	 -118.21	 15.8
 792.00	 -0.00	 86.4	 -78.29	 8.2
 794.00	 -0.00	 48.9	 -46.69	 2.3
 796.00	 -0.00	 21.9	 -23.29	 -1.4
 798.00	 -0.00	 5.5	 -7.57	 -2.1
 800.00	 -0.00	 0.0	 1.49	 1.5
 802.00	 -0.00	 0.0	 5.40	 5.4
 804.00	 -0.00	 0.0	 6.15	 6.2
 806.00	 -0.00	 0.0	 5.29	 5.3
 808.00	 -0.00	 0.0	 3.85	 3.9
 810.00	 -0.00	 0.0	 2.43	 2.4
 812.00	 -0.00	 0.0	 1.29	 1.3
 814.00	 -0.00	 0.0	 0.51	 0.5
 816.00	 -0.00	 0.0	 0.05	 0.0
 818.00	 -0.00	 0.0	 -0.18	 -0.2
 820.00	 -0.00	 0.0	 -0.25	 -0.2
 822.00	 -0.00	 0.0	 -0.23	 -0.2
 824.00	 -0.00	 0.0	 -0.18	 -0.2
 826.00	 -0.00	 0.0	 -0.12	 -0.1
 828.00	 -0.00	 0.0	 -0.07	 -0.0
 830.00	 -0.00	 0.0	 -0.03	 -0.0
 832.00	 -0.00	 0.0	 -0.00	 -0.0
 834.00	 -0.00	 0.0	 0.00	 0.0
 836.00	 -0.00	 0.0	 0.00	 0.0
 838.00	 -0.00	 0.0	 0.01	 0.0
 840.00	 -0.00	 0.0	 0.00	 0.0
 842.00	 -0.00	 0.0	 0.00	 0.0
 844.00	 -0.00	 0.0	 0.00	 0.0
 846.00	 -0.00	 0.0	 0.00	 0.0
 848.00	 -0.00	 0.0	 0.00	 0.0
 850.00	 -0.00	 0.0	 -0.00	 -0.0
 852.00	 -0.00	 0.0	 -0.00	 -0.0
 854.00	 -0.00	 0.0	 -0.00	 -0.0
 856.00	 -0.00	 0.0	 -0.00	 -0.0
 858.00	 -0.00	 0.0	 -0.00	 -0.0
 860.00	 -0.00	 0.0	 -0.00	 -0.0
 862.00	 -0.00	 0.0	 -0.00	 -0.0
 864.00	 -0.00	 0.0	 -0.00	 -0.0
 866.00	 -0.00	 0.0	 -0.00	 -0.0
 868.00	 -0.00	 0.0	 0.00	 0.0
 870.00	 -0.00	 0.0	 0.00	 0.0
 872.00	 -0.00	 0.0	 0.00	 0.0
 874.00	 -0.00	 0.0	 0.00	 0.0
 876.00	 -0.00	 0.0	 0.00	 0.0
 878.00	 -0.00	 0.0	 0.00	 0.0
 880.00	 -0.00	 0.0	 0.00	 0.0
 882.00	 -0.00	 0.0	 0.00	 0.0
 884.00	 -0.00	 0.0	 -0.00	 -0.0
 886.00	 -0.00	 0.0	 -0.00	 -0.0
 888.00	 -0.00	 0.0	 -0.00	 -0.0
 890.00	 -0.00	 0.0	 -0.00	 -0.0
 892.00	 -0.00	 0.0	 -0.00	 -0.0
 894.00	 -0.00	 0.0	 -0.00	 -0.0
 896.00	 -0.00	 0.0	 -0.00	 -0.0
 898.00	 -0.00	 0.0	 -0.00	 -0.0
 900.00	 -0.00	 0.0	 -0.00	 -0.0
 902.00	 -0.00	 0.0	 0.00	 0.0
 904.00	 -0.00	 0.0	 0.00	 0.0
 906.00	 -0.00	 0.0	 0.00	 0.0
 908.00	 -0.00	 0.0	 0.00	 0.0
 910.00	 -0.00	 0.0	 0.00	 0.0
 912.00	 -0.00	 0.0	 0.00	 0.0
 914.00	 -0.00	 0.0	 0.00	 0.0
 916.00	 -0.00	 0.0	 0.00	 0.0
 918.00	 -0.00	 0.0	 -0.00	 -0.0
 920.00	 -0.00	 0.0	 -0.00	 -0.0
 922.00	 -0.00	 0.0	 -0.00	 -0.0
 924.00	 -0.00	 0.0	 -0.00	 -0.0
 926.00	 -0.00	 0.0	 -0.00	 -0.0
 928.00	 -0.00	 0.0	 -0.00	 -0.0
 930.00	 -0.00	 0.0	 -0.00	 -0.0
 932.00	 -0.00	 0.0	 -0.00	 -0.0
 934.00	 -0.00	 0.0	 0.00	 0.0
 936.00	 -0.00	 0.0	 0.00	 0.0
 938.00	 -0.00	 0.0	 0.00	 0.0
 940.00	 -0.00	 0.0	 0.00	 0.0
 942.00	 -0.00	 0.0	 0.00	 0.0
 944.00	 -0.00	 0.0	 0.00	 0.0
 946.00	 -0.00	 0.0	 0.00	 0.0
 948.00	 -0.00	 0.0	 0.00	 0.0
 950.00	 -0.00	 0.0	 0.00	 0.0
 952.00	 -0.00	 0.0	 -0.00	 -0.0
 954.00	 -0.00	 0.0	 -0.00	 -0.0
 956.00	 -0.00	 0.0	 -0.00	 -0.0
 958.00	 -0.00	 0.0	 -0.00	 -0.0
 960.00	 -0.00	 0.0	 -0.00	 -0.0
 962.00	 -0.00	 0.0	 -0.00	 -0.0
 964.00	 -0.00	 0.0	 -0.00	 -0.0
 966.00	 -0.00	 0.0	 -0.00	 -0.0
 968.00	 -0.00	 0.0	 0.00	 0.0
 970.00	 -0.00	 0.0	 0.00	 0.0
 972.00	 -0.00	 0.0	 0.00	 0.0
 974.00	 -0.00	 0.0	 0.00	 0.0
 976.00	 -0.00	 0.0	 0.00	 0.0
 978.00	 -0.00	 0.0	 0.00	 0.0
 980.00	 -0.00	 0.0	 0.00	 0.0
 982.00	 -0.00	 0.0	 0.00	 0.0
 984.00	 -0.00	 0.0	 -0.00	 -0.0
 986.00	 -0.00	 0.0	 -0.00	 -0.0
 988.00	 -0.00	 0.0	 -0.00	 -0.0
