#Time: 0.00Ma	 	#Time: 0.00Ma	#Time: 0.00Ma
> x(Km)	-w(m)	h(m)	# -w(m)	h(m)	# -w(m)	h(m)
 31.00	 -0.00	 0.0	 -0.00	 0.0	 -901.43	 -901.4
 31.20	 -0.00	 0.0	 -0.00	 0.0	 -884.81	 -884.8
 31.40	 -0.00	 0.0	 -0.00	 0.0	 -868.33	 -868.3
 31.60	 -0.00	 0.0	 -0.00	 0.0	 -852.00	 -852.0
 31.80	 -0.00	 0.0	 -0.00	 0.0	 -835.81	 -835.8
 32.00	 -0.00	 0.0	 -0.00	 0.0	 -819.76	 -819.8
 32.20	 -0.00	 0.0	 -0.00	 0.0	 -803.85	 -803.8
 32.40	 -0.00	 0.0	 -0.00	 0.0	 -788.08	 -788.1
 32.60	 -0.00	 0.0	 -0.00	 0.0	 -772.45	 -772.5
 32.80	 -0.00	 0.0	 -0.00	 0.0	 -756.96	 -757.0
 33.00	 -0.00	 0.0	 -0.00	 0.0	 -741.62	 -741.6
 33.20	 -0.00	 0.0	 -0.00	 0.0	 -726.41	 -726.4
 33.40	 -0.00	 0.0	 -0.00	 0.0	 -711.34	 -711.3
 33.60	 -0.00	 0.0	 -0.00	 0.0	 -696.41	 -696.4
 33.80	 -0.00	 0.0	 -0.00	 0.0	 -681.61	 -681.6
 34.00	 -0.00	 0.0	 -0.00	 0.0	 -666.96	 -667.0
 34.20	 -0.00	 0.0	 -0.00	 0.0	 -652.44	 -652.4
 34.40	 -0.00	 0.0	 -0.00	 0.0	 -638.06	 -638.1
 34.60	 -0.00	 0.0	 -0.00	 0.0	 -623.81	 -623.8
 34.80	 -0.00	 0.0	 -0.00	 0.0	 -609.70	 -609.7
 35.00	 -0.00	 0.0	 -0.00	 0.0	 -595.72	 -595.7
 35.20	 -0.00	 0.0	 -0.00	 0.0	 -581.88	 -581.9
 35.40	 -0.00	 0.0	 -0.00	 0.0	 -568.17	 -568.2
 35.60	 -0.00	 0.0	 -0.00	 0.0	 -554.59	 -554.6
 35.80	 -0.00	 0.0	 -0.00	 0.0	 -541.14	 -541.1
